objekt_id,kategorie,objekt_strasse,objekt_ort,plz,zimmer,nutzflaeche,nettomiete,nebenkosten,bruttomiete
6214999,Wohnung,Chutzenstrasse 48,Bern,3007,3,69,1240,250,1490
6215000,Wohnung,Bondelistrasse 50,Wabern,3084,2,59,1165,220,1385
6215785,Wohnung,Bondelistrasse 52,Wabern,3084,3,89,1350,300,1650
6215786,Wohnung,Thomasweg 23,Liebefeld,3097,3.5,69,1120,230,1350
6215787,Wohnung,Thomasweg 19,Liebefeld,3097,4.5,80,1190,250,1440
6215789,Wohnung,Thomasweg 29,Liebefeld,3097,2.5,53,920,125,1045
6218217,Wohnung,Turbenweg 1 A,Gümligen,3073,3.5,91,2611,230,2841
6222036,Wohnung,NULL,Gümligen,3073,4.5,105,3124,NULL,3124
6225670,Wohnung,Ittigenstrasse 10,Ittigen,3063,3.5,94,2000,250,2250
6225936,Wohnung,Chutzenstrasse 46,Bern,3007,3,NULL,1380,220,1600
6252085,Haus,Jungfraustrasse 20,Muri b. Bern,3074,5,NULL,3400,200,3600
6260562,Wohnung,Belpstrasse 4,Muri b. Bern,3074,4.5,146,2400,340,2740
6262830,Wohnung,Bondelistrasse 52,Wabern,3084,2,59,1175,220,1395
6262832,Wohnung,Turbenweg 1 D,Gümligen,3073,4.5,136,2466,340,2806
6263196,Wohnung,Thomasweg 9,Liebefeld,3097,2.5,53,1005,165,1170
6263351,Wohnung,Lutertalstr. 62,Bolligen,3065,4.5,116,1450,380,1830
6263353,Wohnung,Lutertalstr. 60,Bolligen,3065,4.5,141,1730,440,2170
6265852,Wohnung,Fuchsweg 7,Liebefeld,3097,4.5,NULL,1700,400,2100
6272864,Wohnung,Sandrainstrasse 93,Bern,3007,4,102,2550,300,2850
6277374,Wohnung,Beethovenstrasse 36,Gümligen,3073,2.5,NULL,1300,230,1530
6280329,Wohnung,Sportweg 15,Liebefeld,3097,2.5,NULL,1180,160,1340
6284163,Wohnung,Hessstrasse 39,Liebefeld,3097,4.5,NULL,1670,270,1940
6285800,Wohnung,Schwarzenburgstrasse 73,Liebefeld,3097,4.5,99,2050,290,2340
6286867,Wohnung,Grauholzstrasse 58a,Ittigen,3063,4.5,100,1680,300,1980
6287251,Wohnung,Jurastrasse 25,Ittigen,3063,5.5,112,1850,330,2180
6287252,Wohnung,Jurastrasse 67,Ittigen,3063,2.5,65,1140,180,1320
6289904,Wohnung,Asylstrasse 38,Ittigen,3063,3.5,81,1255,230,1485
6294418,Wohnung,Funkstrasse 124,Wabern,3084,3.5,76,1515,300,1815
6295011,Wohnung,Lindenhofstrasse 18,Worblaufen,3048,3.5,NULL,NULL,NULL,1470
6293342,Wohnung,Talgut-Zentrum 38,Ittigen,3063,3.5,82,1560,180,1740
6296106,Wohnung,Tiefenaustrasse 141,Bern,3004,3,62,1465,190,1655
6302968,Wohnung,Tiefenaustrasse 135,Bern,3004,3,NULL,1290,200,1490
